table;col;empty_cells
building;EGID;0
building;GDEKT;0
building;GGDENR;0
building;GGDENAME;0
building;EGRID;131760
building;LGBKR;2785
building;LPARZ;2785
building;LPARZSX;3253418
building;LTYP;3253418
building;GEBNR;1275095
building;GBEZ;2497492
building;GKODE;5
building;GKODN;5
building;GKSCE;5
building;GSTAT;0
building;GKAT;602
building;GKLAS;178183
building;GBAUJ;1367671
building;GBAUM;2886894
building;GBAUP;309506
building;GABBJ;3142958
building;GAREA;67332
building;GVOL;3077637
building;GVOLNORM;3077637
building;GVOLSCE;3077996
building;GASTW;1114120
building;GANZWHG;1375307
building;GAZZI;3184905
building;GSCHUTZR;2107739
building;GEBF;3004023
building;GWAERZH1;1120346
building;GENH1;1107298
building;GWAERSCEH1;1148720
building;GWAERDATH1;1106494
building;GWAERZH2;2726344
building;GENH2;2725536
building;GWAERSCEH2;2825342
building;GWAERDATH2;2725566
building;GWAERZW1;1032942
building;GENW1;1032641
building;GWAERSCEW1;1069989
building;GWAERDATW1;1027093
building;GWAERZW2;2009793
building;GENW2;2008524
building;GWAERSCEW2;2108442
building;GWAERDATW2;2008414
building;GEXPDAT;0
entrance;EGID;0
entrance;EDID;0
entrance;EGAID;0
entrance;DEINR;101259
entrance;ESID;5875
entrance;STRNAME;5875
entrance;STRNAMK;5875
entrance;STRINDX;5875
entrance;STRSP;5875
entrance;STROFFIZIEL;35358
entrance;DPLZ4;0
entrance;DPLZZ;0
entrance;DPLZNAME;0
entrance;DKODE;270487
entrance;DKODN;270487
entrance;DOFFADR;464197
entrance;DEXPDAT;0
dwelling;EGID;0
dwelling;EWID;0
dwelling;EDID;0
dwelling;WHGNR;3058684
dwelling;WEINR;4739133
dwelling;WSTWK;7059
dwelling;WBEZ;3406545
dwelling;WMEHRG;6984
dwelling;WBAUJ;165084
dwelling;WABBJ;5001654
dwelling;WSTAT;1
dwelling;WAREA;146120
dwelling;WAZIM;8947
dwelling;WKCHE;10101
dwelling;WEXPDAT;0
codes;CECODID;0
codes;CMERKM;0
codes;CODTXTLD;0
codes;CODTXTKD;0
codes;CODTXTLF;0
codes;CODTXTKF;0
codes;CODTXTLI;0
codes;CODTXTKI;0
codes;CEXPDAT;0
_metadata;id;0
_metadata;datetime;0
_metadata;scope;0
