n_iter,feedin_atnode_loss_kW,feedin_atnode_taken_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
1,0.0,15683393.108458739,196046866.6249545,15683393.108458739,11526.315393910181,661,0.033358566742366896,pvalloc_29nbfs_LRG2_gridoptim_max
2,0.0,26313388.398501627,193235447.10770056,26313388.398501627,12809.220654292445,875,0.07751703255109765,pvalloc_29nbfs_LRG2_gridoptim_max
3,0.0,37991098.46308382,190129618.46645668,37991098.46308382,15552.164835235899,1205,0.1383295483219783,pvalloc_29nbfs_LRG2_gridoptim_max
4,0.0,52167812.62687396,186478639.90455773,52167812.62687396,18336.823187796876,1557,0.2169063840524855,pvalloc_29nbfs_LRG2_gridoptim_max
5,0.9674308932083022,68911049.25688481,182257320.70615652,68911050.2243157,21136.955996163586,1975,0.3165783497350492,pvalloc_29nbfs_LRG2_gridoptim_max
6,0.9674308932083022,87900660.2902378,177696170.42046934,87900661.25766869,23958.43777620891,2477,0.44158465808730757,pvalloc_29nbfs_LRG2_gridoptim_max
7,9383.031964897007,109030626.87973362,172588308.28444505,109040009.91169852,26817.605337871024,2906,0.5882412313903609,pvalloc_29nbfs_LRG2_gridoptim_max
8,210227.3467678557,130790121.30073704,165975920.08736008,131000348.64750488,30480.555525446558,3283,0.7539237951047186,pvalloc_29nbfs_LRG2_gridoptim_max
9,1443989.180610684,152095749.14492315,157350906.1054067,153539738.32553387,34160.33792026878,3612,0.9362099419631592,pvalloc_29nbfs_LRG2_gridoptim_max
10,6915453.147867468,171454434.89091948,146765503.947703,178369888.03878698,10248.137642660187,1264,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
11,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
12,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
13,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
14,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
15,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
16,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
17,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
18,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
19,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
20,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
21,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
22,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
23,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
24,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
25,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
26,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
27,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
28,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
29,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
30,10287573.776465282,175046471.57736972,143901959.12047583,185334045.35383502,0.0,0,1.0,pvalloc_29nbfs_LRG2_gridoptim_max
1,0.0,15674691.026281193,196046988.3388695,15674691.026281193,11516.462874552877,576,0.02906888720666162,pvalloc_29nbfs_LRG2_max
