t_int,feedin_atnode_kW,demand_atnode_kW,max_demand_feedin_atnode_kW,feedin_atnode_taken_kW,feedin_atnode_loss_kW,iter,scen
4920,0.0,13119.168045565122,13119.168045565122,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4921,0.0,12682.296766741096,12682.296766741096,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4922,0.0,11942.28241032354,11942.28241032354,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4923,0.0,9593.759700978611,9593.759700978611,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4924,0.0,8568.979635339052,8568.979635339052,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4925,0.0,8241.175086627107,8241.175086627107,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4926,105.59745624055167,7392.193539786296,7394.320642353163,105.59745624055167,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4927,1956.313706450429,7406.085452500421,7460.238945163935,1956.313706450429,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4928,4458.895704285446,8081.4048984562405,8676.287507745728,4458.895704285446,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4929,6810.169631009415,10757.36400099465,11758.885351197747,6810.169631009415,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4930,9198.249549014872,11226.892092649094,13586.885557633272,9198.249549014872,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4931,11081.58411715219,12437.291530346252,15826.699947689825,11081.58411715219,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4932,9123.016747527012,16491.959349602846,17449.922997998423,9123.016747527012,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4933,7450.860566917004,22471.998198541663,22767.36942443765,7450.860566917004,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4934,7221.641231761686,16637.436696459034,17099.894750543714,7221.641231761686,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4935,6357.448203547379,14710.159987118239,15200.62701477813,6357.448203547379,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4936,6297.840947463957,13694.5171737895,14348.93872781482,6297.840947463957,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4937,4270.509946713186,12128.210449902494,12343.06721581472,4270.509946713186,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4938,2081.87268301419,10901.818784208099,10947.838968962871,2081.87268301419,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4939,893.8660797634435,15180.896359762755,15199.064972619337,893.8660797634435,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4940,51.26441045986709,16414.407730201034,16415.87497828125,51.26441045986709,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4941,0.0,15023.864991679977,15023.864991679977,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4942,0.0,16368.220899362823,16368.220899362823,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4943,0.0,15587.258490590819,15587.258490590819,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4944,0.0,18615.81676449507,18615.81676449507,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4945,0.0,14002.678608557879,14002.678608557879,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4946,0.0,10809.556844183542,10809.556844183542,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4947,0.0,9321.194655060634,9321.194655060634,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4948,0.0,9273.730641808823,9273.730641808823,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4949,0.0,8143.963226504333,8143.963226504333,0.0,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4950,2.216028679861658,7672.585478317398,7672.70631344729,2.216028679861658,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4951,1125.3561069555194,7528.41567949367,7553.530634971026,1125.3561069555194,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4952,3757.2765902812926,7565.396794857082,7958.406185987609,3757.2765902812926,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4953,6670.57388268469,9437.109518754985,10769.421626056688,6670.57388268469,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4954,9335.985403605364,10566.311879002807,13275.88925435653,9335.985403605364,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4955,10793.567092961443,10696.405313858952,14744.77655625689,10793.567092961443,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4956,9208.268153077175,14724.32687516369,16070.750256576464,9208.268153077175,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4957,6199.4813458639655,14662.97137848936,15042.997300315777,6199.4813458639655,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4958,7652.668591415396,13820.037384419807,15238.823114507326,7652.668591415396,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4959,6123.896023169148,13888.503407439557,14580.863034469827,6123.896023169148,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4960,5643.341437564371,12820.589790195401,13507.77226502591,5643.341437564371,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4961,4550.431836920127,13205.220569381947,13467.961727419794,4550.431836920127,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4962,2490.3072718853723,13510.288751581978,13566.419769745811,2490.3072718853723,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
4963,1108.8435015561251,18294.704631009412,18319.158905361106,1108.8435015561251,0.0,1,pvalloc_29nbfs_LRG2_gridoptim_max
