scen,iter,col,category,count
pvalloc_29nbfs_LRG2_gridoptim_max,1,GKLAS,1122,455
pvalloc_29nbfs_LRG2_gridoptim_max,1,GKLAS,1121,56
pvalloc_29nbfs_LRG2_gridoptim_max,1,GKLAS,1110,370
pvalloc_29nbfs_LRG2_gridoptim_max,1,are_typ,Rural,201
pvalloc_29nbfs_LRG2_gridoptim_max,1,are_typ,Urban,379
pvalloc_29nbfs_LRG2_gridoptim_max,1,are_typ,Suburban,301
pvalloc_29nbfs_LRG2_gridoptim_max,1,heatpump_TF,heatpump,79
pvalloc_29nbfs_LRG2_gridoptim_max,1,heatpump_TF,no_heatpump,802
pvalloc_29nbfs_LRG2_gridoptim_max,1,filter_tag,south_50pr,88
pvalloc_29nbfs_LRG2_gridoptim_max,1,filter_tag,eastwest_70pr,45
pvalloc_29nbfs_LRG2_gridoptim_max,1,filter_tag,eastwest_80pr,201
pvalloc_29nbfs_LRG2_gridoptim_max,1,filter_tag,south_40pr,120
pvalloc_29nbfs_LRG2_gridoptim_max,1,filter_tag,na,427
pvalloc_29nbfs_LRG2_gridoptim_max,2,GKLAS,1122,461
pvalloc_29nbfs_LRG2_gridoptim_max,2,GKLAS,1121,63
pvalloc_29nbfs_LRG2_gridoptim_max,2,GKLAS,1110,834
pvalloc_29nbfs_LRG2_gridoptim_max,2,are_typ,Rural,268
pvalloc_29nbfs_LRG2_gridoptim_max,2,are_typ,Suburban,466
pvalloc_29nbfs_LRG2_gridoptim_max,2,are_typ,Urban,624
pvalloc_29nbfs_LRG2_gridoptim_max,2,heatpump_TF,no_heatpump,1178
pvalloc_29nbfs_LRG2_gridoptim_max,2,heatpump_TF,heatpump,180
pvalloc_29nbfs_LRG2_gridoptim_max,2,filter_tag,south_50pr,113
pvalloc_29nbfs_LRG2_gridoptim_max,2,filter_tag,south_40pr,156
pvalloc_29nbfs_LRG2_gridoptim_max,2,filter_tag,eastwest_70pr,75
pvalloc_29nbfs_LRG2_gridoptim_max,2,filter_tag,na,641
pvalloc_29nbfs_LRG2_gridoptim_max,2,filter_tag,eastwest_80pr,373
pvalloc_29nbfs_LRG2_gridoptim_max,3,GKLAS,1110,1484
pvalloc_29nbfs_LRG2_gridoptim_max,3,GKLAS,1121,91
pvalloc_29nbfs_LRG2_gridoptim_max,3,GKLAS,1122,476
pvalloc_29nbfs_LRG2_gridoptim_max,3,are_typ,Suburban,699
pvalloc_29nbfs_LRG2_gridoptim_max,3,are_typ,Rural,300
pvalloc_29nbfs_LRG2_gridoptim_max,3,are_typ,Urban,1052
pvalloc_29nbfs_LRG2_gridoptim_max,3,heatpump_TF,no_heatpump,1814
pvalloc_29nbfs_LRG2_gridoptim_max,3,heatpump_TF,heatpump,237
pvalloc_29nbfs_LRG2_gridoptim_max,3,filter_tag,eastwest_70pr,145
pvalloc_29nbfs_LRG2_gridoptim_max,3,filter_tag,south_40pr,205
pvalloc_29nbfs_LRG2_gridoptim_max,3,filter_tag,eastwest_80pr,611
pvalloc_29nbfs_LRG2_gridoptim_max,3,filter_tag,south_50pr,136
pvalloc_29nbfs_LRG2_gridoptim_max,3,filter_tag,na,954
pvalloc_29nbfs_LRG2_gridoptim_max,4,GKLAS,1110,2382
pvalloc_29nbfs_LRG2_gridoptim_max,4,GKLAS,1121,137
pvalloc_29nbfs_LRG2_gridoptim_max,4,GKLAS,1122,410
pvalloc_29nbfs_LRG2_gridoptim_max,4,are_typ,Rural,220
pvalloc_29nbfs_LRG2_gridoptim_max,4,are_typ,Suburban,1060
pvalloc_29nbfs_LRG2_gridoptim_max,4,are_typ,Urban,1649
pvalloc_29nbfs_LRG2_gridoptim_max,4,heatpump_TF,no_heatpump,2708
pvalloc_29nbfs_LRG2_gridoptim_max,4,heatpump_TF,heatpump,221
pvalloc_29nbfs_LRG2_gridoptim_max,4,filter_tag,eastwest_70pr,248
pvalloc_29nbfs_LRG2_gridoptim_max,4,filter_tag,eastwest_80pr,951
pvalloc_29nbfs_LRG2_gridoptim_max,4,filter_tag,south_40pr,340
pvalloc_29nbfs_LRG2_gridoptim_max,4,filter_tag,na,1248
pvalloc_29nbfs_LRG2_gridoptim_max,4,filter_tag,south_50pr,142
pvalloc_29nbfs_LRG2_gridoptim_max,5,GKLAS,1110,3645
pvalloc_29nbfs_LRG2_gridoptim_max,5,GKLAS,1121,179
pvalloc_29nbfs_LRG2_gridoptim_max,5,GKLAS,1122,242
pvalloc_29nbfs_LRG2_gridoptim_max,5,are_typ,Rural,227
pvalloc_29nbfs_LRG2_gridoptim_max,5,are_typ,Urban,2391
pvalloc_29nbfs_LRG2_gridoptim_max,5,are_typ,Suburban,1448
pvalloc_29nbfs_LRG2_gridoptim_max,5,heatpump_TF,no_heatpump,3809
pvalloc_29nbfs_LRG2_gridoptim_max,5,heatpump_TF,heatpump,257
pvalloc_29nbfs_LRG2_gridoptim_max,5,filter_tag,eastwest_70pr,250
pvalloc_29nbfs_LRG2_gridoptim_max,5,filter_tag,south_40pr,603
pvalloc_29nbfs_LRG2_gridoptim_max,5,filter_tag,na,1808
pvalloc_29nbfs_LRG2_gridoptim_max,5,filter_tag,south_50pr,303
pvalloc_29nbfs_LRG2_gridoptim_max,5,filter_tag,eastwest_80pr,1102
pvalloc_29nbfs_LRG2_gridoptim_max,6,GKLAS,1122,250
pvalloc_29nbfs_LRG2_gridoptim_max,6,GKLAS,1110,4474
pvalloc_29nbfs_LRG2_gridoptim_max,6,GKLAS,1121,166
pvalloc_29nbfs_LRG2_gridoptim_max,6,are_typ,Urban,3067
pvalloc_29nbfs_LRG2_gridoptim_max,6,are_typ,Suburban,1669
pvalloc_29nbfs_LRG2_gridoptim_max,6,are_typ,Rural,154
pvalloc_29nbfs_LRG2_gridoptim_max,6,heatpump_TF,heatpump,490
pvalloc_29nbfs_LRG2_gridoptim_max,6,heatpump_TF,no_heatpump,4400
pvalloc_29nbfs_LRG2_gridoptim_max,6,filter_tag,eastwest_80pr,843
pvalloc_29nbfs_LRG2_gridoptim_max,6,filter_tag,south_50pr,445
pvalloc_29nbfs_LRG2_gridoptim_max,6,filter_tag,eastwest_70pr,131
pvalloc_29nbfs_LRG2_gridoptim_max,6,filter_tag,na,2475
pvalloc_29nbfs_LRG2_gridoptim_max,6,filter_tag,south_40pr,996
pvalloc_29nbfs_LRG2_gridoptim_max,7,GKLAS,1121,136
pvalloc_29nbfs_LRG2_gridoptim_max,7,GKLAS,1110,4102
pvalloc_29nbfs_LRG2_gridoptim_max,7,GKLAS,1122,505
pvalloc_29nbfs_LRG2_gridoptim_max,7,are_typ,Suburban,1189
pvalloc_29nbfs_LRG2_gridoptim_max,7,are_typ,Urban,3532
pvalloc_29nbfs_LRG2_gridoptim_max,7,are_typ,Rural,22
pvalloc_29nbfs_LRG2_gridoptim_max,7,heatpump_TF,no_heatpump,4244
pvalloc_29nbfs_LRG2_gridoptim_max,7,heatpump_TF,heatpump,499
pvalloc_29nbfs_LRG2_gridoptim_max,7,filter_tag,south_50pr,391
pvalloc_29nbfs_LRG2_gridoptim_max,7,filter_tag,eastwest_70pr,232
pvalloc_29nbfs_LRG2_gridoptim_max,7,filter_tag,eastwest_80pr,593
pvalloc_29nbfs_LRG2_gridoptim_max,7,filter_tag,south_40pr,799
pvalloc_29nbfs_LRG2_gridoptim_max,7,filter_tag,na,2728
pvalloc_29nbfs_LRG2_gridoptim_max,8,GKLAS,1121,25
pvalloc_29nbfs_LRG2_gridoptim_max,8,GKLAS,1122,50
pvalloc_29nbfs_LRG2_gridoptim_max,8,GKLAS,1110,1772
pvalloc_29nbfs_LRG2_gridoptim_max,8,are_typ,Suburban,476
pvalloc_29nbfs_LRG2_gridoptim_max,8,are_typ,Urban,1371
pvalloc_29nbfs_LRG2_gridoptim_max,8,heatpump_TF,heatpump,290
pvalloc_29nbfs_LRG2_gridoptim_max,8,heatpump_TF,no_heatpump,1557
pvalloc_29nbfs_LRG2_gridoptim_max,8,filter_tag,south_50pr,120
pvalloc_29nbfs_LRG2_gridoptim_max,8,filter_tag,south_40pr,250
pvalloc_29nbfs_LRG2_gridoptim_max,8,filter_tag,eastwest_80pr,97
pvalloc_29nbfs_LRG2_gridoptim_max,8,filter_tag,na,1322
pvalloc_29nbfs_LRG2_gridoptim_max,8,filter_tag,eastwest_70pr,58
pvalloc_29nbfs_LRG2_max,1,GKLAS,1110,117
pvalloc_29nbfs_LRG2_max,1,GKLAS,1121,43
pvalloc_29nbfs_LRG2_max,1,GKLAS,1122,494
pvalloc_29nbfs_LRG2_max,1,are_typ,Urban,346
pvalloc_29nbfs_LRG2_max,1,are_typ,Rural,65
pvalloc_29nbfs_LRG2_max,1,are_typ,Suburban,243
pvalloc_29nbfs_LRG2_max,1,heatpump_TF,no_heatpump,446
pvalloc_29nbfs_LRG2_max,1,heatpump_TF,heatpump,208
pvalloc_29nbfs_LRG2_max,1,filter_tag,na,414
pvalloc_29nbfs_LRG2_max,1,filter_tag,south_40pr,91
pvalloc_29nbfs_LRG2_max,1,filter_tag,eastwest_80pr,56
pvalloc_29nbfs_LRG2_max,1,filter_tag,south_50pr,65
pvalloc_29nbfs_LRG2_max,1,filter_tag,eastwest_70pr,28
pvalloc_29nbfs_LRG2_max,2,GKLAS,1121,64
pvalloc_29nbfs_LRG2_max,2,GKLAS,1110,370
pvalloc_29nbfs_LRG2_max,2,GKLAS,1122,634
pvalloc_29nbfs_LRG2_max,2,are_typ,Urban,485
pvalloc_29nbfs_LRG2_max,2,are_typ,Rural,158
pvalloc_29nbfs_LRG2_max,2,are_typ,Suburban,425
pvalloc_29nbfs_LRG2_max,2,heatpump_TF,no_heatpump,665
pvalloc_29nbfs_LRG2_max,2,heatpump_TF,heatpump,403
pvalloc_29nbfs_LRG2_max,2,filter_tag,na,630
pvalloc_29nbfs_LRG2_max,2,filter_tag,south_50pr,86
pvalloc_29nbfs_LRG2_max,2,filter_tag,south_40pr,140
pvalloc_29nbfs_LRG2_max,2,filter_tag,eastwest_80pr,175
pvalloc_29nbfs_LRG2_max,2,filter_tag,eastwest_70pr,37
pvalloc_29nbfs_LRG2_max,3,GKLAS,1110,762
