n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
1,0.0,156451870.7465875,12138093.51969259,11524.756004960458,707,0.05019880715705766,pvalloc_29nbfs_LRG2_gridoptim_max
2,0.0,153301998.78694013,22244428.25084005,12810.249641695664,992,0.12063334280034081,pvalloc_29nbfs_LRG2_gridoptim_max
3,0.0,149823591.26840037,33310450.14863914,15553.317893489424,1366,0.2176228344220392,pvalloc_29nbfs_LRG2_gridoptim_max
4,0.0,145705508.20756593,46827482.54199508,18330.501046373498,1823,0.3470604941777904,pvalloc_29nbfs_LRG2_gridoptim_max
5,0.0,141301511.13149098,63077538.0796834,21132.817495769195,2384,0.5163305879011645,pvalloc_29nbfs_LRG2_gridoptim_max
6,6155.17144304049,136575455.2020953,81971869.793714,23962.731074123883,2823,0.716770803748935,pvalloc_29nbfs_LRG2_gridoptim_max
7,570480.891487979,130529808.64687496,102583983.95153329,26826.370176959703,2912,0.9235302470888952,pvalloc_29nbfs_LRG2_gridoptim_max
8,5067794.465838253,123080087.88648254,125161693.05304956,7267.964158997319,950,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
9,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
10,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
11,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
12,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
13,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
14,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
15,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
16,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
17,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
18,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
19,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
20,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
1,0.0,156460670.4000943,12106812.450632345,11525.071919462534,593,0.042104515762567456,pvalloc_29nbfs_LRG2_max
2,0.0,151617544.74077043,20650499.33630851,12807.0679353278,879,0.10451576256745243,pvalloc_29nbfs_LRG2_max
3,0.0,146717489.61353624,30664498.583638318,15557.56689078119,1258,0.19383697813121273,pvalloc_29nbfs_LRG2_max
4,47.462971084104595,140947198.79364422,42794779.93173957,18334.55236502095,1682,0.3132632774779892,pvalloc_29nbfs_LRG2_max
5,26646.47922277057,135296824.66819444,58199678.8714014,21138.64209757162,2289,0.4757881283726214,pvalloc_29nbfs_LRG2_max
6,450569.41386225866,130482538.33170684,78177816.57160023,23965.5565805924,2871,0.6796364669128089,pvalloc_29nbfs_LRG2_max
7,2183924.0657519856,126117061.87515667,101026490.56813174,26822.540039813382,3434,0.9234592445328031,pvalloc_29nbfs_LRG2_max
8,6286062.8957127035,121943285.33588128,125623968.34734347,8438.096169814758,1078,1.0,pvalloc_29nbfs_LRG2_max
9,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
10,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
11,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
12,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
13,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
14,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
15,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
16,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
17,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
18,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
19,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
20,8013247.702566296,120649430.17721693,132178459.89717206,0.0,0,1.0,pvalloc_29nbfs_LRG2_max
1,0.0,156456529.5642337,12145454.435269177,11534.25183182413,593,0.042104515762567456,pvalloc_29nbfs_LRG2_max_sAs2p0
2,0.0,151624462.73190513,20718547.51078913,12814.368975209842,867,0.1036637318943482,pvalloc_29nbfs_LRG2_max_sAs2p0
3,0.0,146778369.91415527,30742361.760940973,15554.387785151646,1263,0.1933399602385686,pvalloc_29nbfs_LRG2_max_sAs2p0
4,74.35916324515176,140979639.3182709,42882828.50922516,18336.856944653806,1677,0.31241124680488497,pvalloc_29nbfs_LRG2_max_sAs2p0
5,34256.98747899446,135330850.30643746,58192195.06544046,21137.255386688772,2224,0.47032093155353594,pvalloc_29nbfs_LRG2_max_sAs2p0
6,367232.3544405864,130613079.54614994,77933492.05982791,23969.77877123341,2843,0.6721811985231468,pvalloc_29nbfs_LRG2_max_sAs2p0
7,2295291.229460496,126318657.97047508,100811810.2312267,26820.257183214548,3483,0.9194831013916501,pvalloc_29nbfs_LRG2_max_sAs2p0
8,6653353.516172663,122012816.59700732,125512830.02749869,8424.843291154251,1134,1.0,pvalloc_29nbfs_LRG2_max_sAs2p0
9,8014245.432169927,120648072.35699266,132189146.88989083,0.0,0,1.0,pvalloc_29nbfs_LRG2_max_sAs2p0
10,8014245.432169927,120648072.35699266,132189146.88989083,0.0,0,1.0,pvalloc_29nbfs_LRG2_max_sAs2p0
