¨n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
1,0.0,474753759.39694583,7242785.909458927,11532.642380422762,540.0,0.038341380289690426,pvalloc_29nbfs_30y5_max
2,0.0,465428416.8114525,10992855.227735804,12819.189989906656,826.0,0.09698949162169838,pvalloc_29nbfs_30y5_max
3,0.0,455079072.35576874,15391716.290804889,15552.809791112602,1223.0,0.183825617722238,pvalloc_29nbfs_30y5_max
4,0.0,443071177.8935158,21274249.780000307,18329.115501748583,1713.0,0.3054529963078671,pvalloc_29nbfs_30y5_max
5,12170.122680138431,429819575.7233724,29306593.775170147,21131.030781736135,2237.0,0.4642857142857143,pvalloc_29nbfs_30y5_max
6,135378.24622143758,415626854.74555093,39383084.40657055,23963.08137885424,2903.0,0.6704061346208463,pvalloc_29nbfs_30y5_max
7,753924.3256453946,400589272.33515334,51361830.007777445,26832.094584434682,3547.0,0.9222522010792389,pvalloc_29nbfs_30y5_max
8,2413250.2601174708,385557343.40840846,65211500.42164793,7937.27957549676,1095.0,1.0,pvalloc_29nbfs_30y5_max
9,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
10,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
11,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
12,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
13,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
14,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
15,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
16,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
17,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
18,3086772.808193281,381570848.6223842,68759984.0021498,0.0,0.0,1.0,pvalloc_29nbfs_30y5_max
