n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
1,0,474753759.4,7242785.909,11532.64238,540,0.03834138,pvalloc_29nbfs_LRG2_max
2,0,465428416.8,10992855.23,12819.18999,826,0.096989492,pvalloc_29nbfs_LRG2_max
3,0,455079072.4,15391716.29,15552.80979,1223,0.183825618,pvalloc_29nbfs_LRG2_max
4,0,443071177.9,21274249.78,18329.1155,1713,0.305452996,pvalloc_29nbfs_LRG2_max
5,12170.12268,429819575.7,29306593.78,21131.03078,2237,0.464285714,pvalloc_29nbfs_LRG2_max
6,135378.2462,415626854.7,39383084.41,23963.08138,2903,0.670406135,pvalloc_29nbfs_LRG2_max
7,753924.3256,400589272.3,51361830.01,26832.09458,3547,0.922252201,pvalloc_29nbfs_LRG2_max
8,2413250.26,385557343.4,65211500.42,7937.279575,1095,1,pvalloc_29nbfs_LRG2_max
9,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
10,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
11,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
12,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
13,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
14,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
15,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
16,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
17,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
18,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
19,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
20,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
21,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
22,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
23,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
24,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
25,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
26,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
27,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
28,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
29,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
30,3086772.808,381570848.6,68759984,0,0,1,pvalloc_29nbfs_LRG2_max
1,0,474747000.8,7247394.089,11522.1719,540,0.03834138,pvalloc_29nbfs_LRG2_max_1hll
2,0,465446463.1,10992710.11,12805.89912,826,0.096989492,pvalloc_29nbfs_LRG2_max_1hll
3,0,455082253.8,15385951.69,15555.22963,1222,0.183754615,pvalloc_29nbfs_LRG2_max_1hll
4,0,443074539,21275681.96,18331.49781,1713,0.305381994,pvalloc_29nbfs_LRG2_max_1hll
5,12588.7356,429840722.1,29290259.95,21137.33104,2238,0.464285714,pvalloc_29nbfs_LRG2_max_1hll
6,103810.9751,415649183.2,39366119.84,23970.06203,2958,0.674311275,pvalloc_29nbfs_LRG2_max_1hll
7,246191.7513,400803685.6,51576744.28,19859.55769,2690,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
8,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
9,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
10,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
11,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
12,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
13,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
14,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
15,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
16,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
17,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
18,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
19,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
20,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
21,607733.1294,390155922.4,61544119.99,0,0,0.865308151,pvalloc_29nbfs_LRG2_max_1hll
