scen,iter,col,category,count
pvalloc_LRG3_max,1,GKLAS,1121,36
pvalloc_LRG3_max,1,GKLAS,1122,231
pvalloc_LRG3_max,1,GKLAS,1110,132
pvalloc_LRG3_max,1,are_typ,Suburban,162
pvalloc_LRG3_max,1,are_typ,Urban,170
pvalloc_LRG3_max,1,are_typ,Rural,67
pvalloc_LRG3_max,1,heatpump_TF,heatpump,147
pvalloc_LRG3_max,1,heatpump_TF,no_heatpump,252
pvalloc_LRG3_max,1,filter_tag,na,266
pvalloc_LRG3_max,1,filter_tag,eastwest_80pr,35
pvalloc_LRG3_max,1,filter_tag,south_50pr,38
pvalloc_LRG3_max,1,filter_tag,south_40pr,47
pvalloc_LRG3_max,1,filter_tag,eastwest_70pr,13
pvalloc_LRG3_max,2,GKLAS,1121,62
pvalloc_LRG3_max,2,GKLAS,1122,242
pvalloc_LRG3_max,2,GKLAS,1110,289
pvalloc_LRG3_max,2,are_typ,Rural,124
pvalloc_LRG3_max,2,are_typ,Urban,257
pvalloc_LRG3_max,2,are_typ,Suburban,212
pvalloc_LRG3_max,2,heatpump_TF,no_heatpump,417
pvalloc_LRG3_max,2,heatpump_TF,heatpump,176
pvalloc_LRG3_max,2,filter_tag,eastwest_80pr,50
pvalloc_LRG3_max,2,filter_tag,south_40pr,80
pvalloc_LRG3_max,2,filter_tag,south_50pr,60
pvalloc_LRG3_max,2,filter_tag,eastwest_70pr,21
pvalloc_LRG3_max,2,filter_tag,na,382
pvalloc_LRG3_max,3,GKLAS,1122,281
pvalloc_LRG3_max,3,GKLAS,1110,500
pvalloc_LRG3_max,3,GKLAS,1121,82
pvalloc_LRG3_max,3,are_typ,Rural,191
pvalloc_LRG3_max,3,are_typ,Suburban,334
pvalloc_LRG3_max,3,are_typ,Urban,338
pvalloc_LRG3_max,3,heatpump_TF,heatpump,206
pvalloc_LRG3_max,3,heatpump_TF,no_heatpump,657
pvalloc_LRG3_max,3,filter_tag,south_50pr,99
pvalloc_LRG3_max,3,filter_tag,eastwest_80pr,84
pvalloc_LRG3_max,3,filter_tag,south_40pr,104
pvalloc_LRG3_max,3,filter_tag,na,543
pvalloc_LRG3_max,3,filter_tag,eastwest_70pr,33
pvalloc_LRG3_max,4,GKLAS,1110,674
pvalloc_LRG3_max,4,GKLAS,1121,118
pvalloc_LRG3_max,4,GKLAS,1122,360
pvalloc_LRG3_max,4,are_typ,Urban,460
pvalloc_LRG3_max,4,are_typ,Suburban,458
pvalloc_LRG3_max,4,are_typ,Rural,234
pvalloc_LRG3_max,4,heatpump_TF,no_heatpump,882
pvalloc_LRG3_max,4,heatpump_TF,heatpump,270
pvalloc_LRG3_max,4,filter_tag,eastwest_80pr,101
pvalloc_LRG3_max,4,filter_tag,eastwest_70pr,55
pvalloc_LRG3_max,4,filter_tag,south_40pr,127
pvalloc_LRG3_max,4,filter_tag,south_50pr,129
pvalloc_LRG3_max,4,filter_tag,na,740
pvalloc_LRG3_max,5,GKLAS,1122,451
pvalloc_LRG3_max,5,GKLAS,1110,929
pvalloc_LRG3_max,5,GKLAS,1121,137
pvalloc_LRG3_max,5,are_typ,Urban,643
pvalloc_LRG3_max,5,are_typ,Rural,342
pvalloc_LRG3_max,5,are_typ,Suburban,532
pvalloc_LRG3_max,5,heatpump_TF,no_heatpump,1186
pvalloc_LRG3_max,5,heatpump_TF,heatpump,331
pvalloc_LRG3_max,5,filter_tag,na,1008
pvalloc_LRG3_max,5,filter_tag,eastwest_80pr,138
