n_iter,feedin_atnode_loss_kW,feedin_atnode_taken_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
1,0.0,15675897.657157123,196046969.5953906,15675897.657157123,5736.013756012363,353,0.017814786777693666,pvalloc_LRG3_max
2,0.0,19393674.268159032,193250826.61179867,19393674.268159032,7300.209090632649,520,0.04405753217259652,pvalloc_LRG3_max
3,0.0,24921656.794759337,190485627.14381778,24921656.794759337,9288.045317103855,735,0.08115064345193036,pvalloc_LRG3_max
4,0.0,32218430.8213786,187178949.12248415,32218430.8213786,11802.896195230514,964,0.12980065606863486,pvalloc_LRG3_max
5,0.0,41649669.94477318,183216318.76959383,41649669.94477318,14939.082696966043,1284,0.19460005046681808,pvalloc_LRG3_max
6,0.0,53380233.945134714,178272152.56290045,53380233.945134714,18860.744782249494,1768,0.28382538480948777,pvalloc_LRG3_max
7,3524.344596734046,68555214.72560926,172276036.06544003,68558739.07020599,23686.634264491666,2399,0.40489528135251074,pvalloc_LRG3_max
8,52832.03313529765,87577168.67257811,165383939.00683245,87630000.7057134,29591.500598140607,3116,0.5621498864496594,pvalloc_LRG3_max
9,464424.8365309243,111897884.15706767,157984356.13682884,112362308.9935986,36725.13077046332,4330,0.7806712086802927,pvalloc_LRG3_max
10,2988439.8053477174,141503168.8801201,150909287.43952325,144491608.68546778,34773.078173302056,4227,0.9939944486500126,pvalloc_LRG3_max
11,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
12,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
13,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
14,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
15,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
16,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
17,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
18,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
19,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
20,8041673.145025323,165851543.23350906,144686459.74304676,173893216.37853438,0.0,0,0.9939944486500126,pvalloc_LRG3_max
